No,类型,信号,位置提示,游戏坐标,挑战起点,起点差,解法原文,截图
612,垒石·石圈,text,东埃文坡高地,"1144.0, -3743.6",,,Complete the stone circle using a nearby rock (which is in a clump of bushes to the east as you head to the Lynel.  Stasis can help you see it.).,Korok612.jpg
613,磁铁·方块拼图,text,埃文坡高地,"605.6, -3634.0",,,Finish the magnetic block puzzle.,Korok613.jpg
614,搬石头,text,埃文坡高地,"210.4, -3559.6",,,Pick up the rock.,Korok614.jpg
615,射气球,text,沃尔纳高地,"-485.0, -3140.0",,,Stand near the pinwheel and shoot the balloons.,Korok615.jpg
616,垒石·石圈,text,鲁皮湖,"1378.0, -1262.4",,,Finish the rock pattern with a nearby rock.,Korok616.jpg
617,跳水环,text,国王的书房,"-141.6, -1167.0",,,Dive into the circle of lilies at the bottom of the waterfall.,Korok617.jpg
618,搬石头,text,卡尔加岭,"-3677.6, -2467.6",,,Under a rock.,Korok618.jpg
619,搬石头,text,蟹蟹岛,"1551.6, -3108.4",,,Lift the rock on top of the structure surrounding the shrine.,Korok619.jpg
620,射气球,text,八爪怪森林,"3573.0, -3046.4",,,Shoot the balloon underneath the upper cliff.,Korok620.jpg
621,磁铁·方块拼图,text,八爪怪森林,"3322.4, -2802.0",,,Complete the magnetic block puzzle in the ruins.,Korok621.jpg
622,树叶下,text,海布拉河,"-3042.4, -2520.0",,,Thaw the ice block and examine the whirling glittering leaves.,Korok622.jpg
623,精灵光点,text,暴风谷,"-3061.0, -2815.0",,,Thaw the ice and examine the fairy lights.,Korok623.jpg
624,树叶下,text,夏利巴山,"-3117.0, -2805.6",,,Thaw the ice and examine the whirling glittering leaves.,Korok624.jpg
625,推石入坑,text,深远阿卡莱平原,"3781.6, -3359.0","4010.4, -3207.7",是,Roll a boulder into the hole. Boulders can be found on the nearby hill to the southeast. It is advised to kill the Lynel first.,Korok625.jpg
626,射箭·射靶,actor,杰德桥,"-1861.0, 335.0","-1999.0, 152.8",是,Break the nut in the hole in the tree.,Korok626.jpg
627,射气球,text,尼凯尔平原,"-1968.0, 598.4",,,Shoot five balloons near the pinwheel.,Korok627.jpg
628,射箭·射靶,text,尼凯尔平原,"-1730.4, 377.0","-1931.1, 608.9",是,Destroy the acorn in the hole in the side of the tree.,Korok628.jpg
629,射箭·射靶,actor,尼凯尔平原,"-2053.0, 635.6","-1967.2, 609.0",是,Break the nut in the hole of the fallen tree.,Korok629.jpg
630,搬石头,text,卢驰尔湖,"-2732.4, 759.6",,,Hidden under a small rock that is covered by the leaves.,Korok630.jpg
631,推石入坑,text,卢驰尔湖,"-2349.0, 846.4","-2351.3, 741.9",是,Roll a boulder (found to the north) into the hole.,Korok631.jpg
632,搬石头,text,卢驰尔湖,"-2647.6, 548.4",,,Use a bladed weapon to clear the leaves and then lift the small rock that was hidden underneath.,Korok632.jpg
633,赛跑·树桩,text,拉布拉山,"-1856.0, -1192.4","-1892.1, -1235.1",是,Race from the top of the mountain to the northwest.,Korok633.jpg
634,垒石·石圈,text,玛丽塔平原,"-1093.0, -1734.4",,,Finish the rock pattern using a rock on a nearby ledge to the south.,Korok634.jpg
635,精灵光点,text,门前驿站村遗迹,"-770.4, 1380.4",,,Catch the fairy lights.,Korok635.jpg
636,推石入坑,text,路茨平原,"-3840.4, -803.6",,,Push the nearby boulder into the hole.,Korok636.jpg
637,射气球,text,海拉鲁城邑遗迹,"-163.6, -260.4",,,The pinwheel at the top of this section of wall spawns balloons to the north. Shoot them.,Korok637.jpg
638,其他,manual,城邑监视塔遗迹,"97.6, -433.0",,,Climb to the top of the flagpole.,Korok638.jpg
639,搬石头,text,沃尔纳山,"-567.6, -2598.0",,,Pick up the rock on the peak of the mountain.,Korok639.jpg
640,赛跑·树桩,text,阿卡莱古代研究所,"4344.0, -3178.4","4252.4, -3134.4",是,"The seed platform is to the southwest, across the chasm. Race to the ring.",Korok640.jpg
641,搬石头,text,阿卡莱堡垒遗迹,"3290.0, -1427.0",,,Look near the cannons for a rock to pick up.,Korok641.jpg
642,树叶下,text,丝蕾米的小屋,"-2945.6, -3147.0",,,Climb to the top of the cabin and examine the swirling leaves. Cold Resistance Level 2 recommended,Korok642.jpg
643,垒石·石圈,text,柯库皮雪原,"-2468.0, -2764.4",,,Complete the circle using two nearby stones.,Korok643.jpg
644,垒石·石圈,text,鼓隆温泉,"1647.0, -2245.0",,,Complete the rock circle from the rock next to a nearby lava flow.,Korok644.jpg
645,推石入坑,text,马尔鼓池塘,"2017.6, -2165.6",,,Roll the boulder into the lava at the end of the hill.,Korok645.jpg
646,射气球,text,达鲁马湖,"1887.0, -2748.4",,,"Stand near the pinwheel, shoot the balloon.",Korok646.jpg
647,树叶下,text,茨茨齐齐雪原,"-2211.6, -2908.0",,,Thaw the ice block and examine the glittering leaves. Cold Resistance Level 2 recommended,Korok647.jpg
648,搬石头,text,达拉伊特森林,"-2343.6, 1105.6",,,Under a rock up the large curved tree.,Korok648.jpg
649,射箭·射靶,text,达拉伊特森林,"-2098.4, 1106.4","-2442.1, 1143.6",是,Shoot the acorn hanging from a tree.,Korok649.jpg
650,食物祭品,text,萨尔法山丘,"-1819.0, 976.0",,,Put an apple in every bowl.,Korok650.jpg
651,搬石头,text,希麦加米河,"-1405.6, 453.0",,,Under a rock up in a tree.,Korok651.jpg
652,追花,actor,交易所遗迹,"-643.0, 877.0","-587.1, 875.6",是,Follow a trail of flowers that starts slightly to the east.,Korok652.jpg
653,磁铁·方块拼图,text,城邑监视塔遗迹,"80.0, -409.6",,,Move the metal door and pick up the rock under it.,Korok653.jpg
654,射气球,text,观察室,"-237.0, -743.0",,,Shoot the 3 balloons hiding behind the Malice to reveal the Korok.,Korok654.jpg
655,射气球,text,观察室,"-248.4, -741.6",,,Shoot the balloon in the far distance to reveal the Korok.,Korok655.jpg
656,跳水环,text,科摩罗池,"-427.0, 1192.4",,,Dive into the ring in the water.,Korok656.jpg
657,射箭·射靶,text,科摩罗池,"-601.6, 1072.4","-662.5, 1377.2",是,Shoot the acorn hanging from the tree.,Korok657.jpg
658,精灵光点,text,达思齐达山,"3178.0, 3202.4",,,Catch the fairy lights.,Korok658.jpg
659,推石入坑,text,泡泡拉高地,"910.4, 2196.0","1045.1, 2176.4",是,Get one of the giant boulders to the east into the hole.,Korok659.jpg
660,射气球,text,海马高地,"-4256.4, -78.4",,,Shoot 3 balloons near the pinwheel.,Korok660.jpg
661,搬石头,text,库库甲谷,"-3328.0, -337.6",,,Under a rock under a slab.,Korok661.jpg
662,垒石·石圈,text,龙骨沼泽,"-4327.6, -2052.4",,,Complete the three stone circles using rocks that lie approximately in the direction of each circles gap.,Korok662.jpg
663,垒石·石圈,text,泽卡瓦米的秘泉,"-4157.6, -3403.6",,,Find the missing rock to fill in the triangle.,Korok663.jpg
664,赛跑·树桩,text,海布拉大化石,"-4167.0, -3616.0","-4251.8, -3590.2",是,"Climb the hill to the west of the marker to find this seed platform. You'll need to shield surf down the hill to reach the circle in time, as it expires very quickly. Cold Resistance Level 2 recommended",Korok664.jpg
665,磁铁·方块拼图,text,冰冻山麓,"-4397.6, -3771.6",,,Complete the block puzzle. Cold Resistance Level 2 recommended,Korok665.jpg
666,射气球,text,海布拉冻原,"-3575.0, -3271.6",,,Climb to the top of the hill to find a pinwheel. The three balloons constantly disappear and reappear over the nearby trees.,Korok666.jpg
667,搬石头,text,比隆雪原,"-3796.0, -3035.0",,,Under a rock.,Korok667.jpg
668,射箭·射靶,text,塔邦挞山丘,"-2524.0, -1734.4",,,Destroy the acorn in the hollow of the tree log.,Korok668.jpg
669,搬石头,text,库库甲谷,"-3206.4, -329.0",,,Under a rock between the pillars.,Korok669.jpg
670,食物祭品,text,无底沼泽,"316.4, 527.6",,,Place an apple in the empty basket.,Korok670.jpg
671,垒石·石圈,text,拉布拉山丘,"-2516.0, -1436.0",,,Complete the circle of rocks. the rock is hidden behind some bushes southwest of the circle.,Korok671.jpg
672,搬石头,text,玛丽塔交易所遗迹,"-2036.0, -1620.4",,,"At the bottom of the canyon, blow up the cracked boulders then lift the small rock hidden behind them.",Korok672.jpg
673,搬石头,text,玛丽塔交易所遗迹,"-1885.6, -1812.4",,,Under a rock.,Korok673.jpg
674,磁铁·方块拼图,text,沃尔纳山,"-1050.0, -2614.4",,,"On top of the temple, use Magnesis to put the cube back in its rightful spot.",Korok674.jpg
675,磁铁·方块拼图,text,库库甲谷,"-3209.0, -493.6",,,Solve the block puzzle.,Korok675.jpg
676,赛跑·树桩,text,古代石柱群,"-3675.0, -393.6","-3647.1, -436.4",是,Race from a lower pillar just to the north-northeast to this high pillar.,Korok676.jpg
677,精灵光点,text,库库甲谷球场,"-3107.6, -915.6",,,Climb up to the top of the flagpole and examine the fairy lights.,Korok677.jpg
678,搬石头,text,库库甲谷球场,"-3086.4, -1112.0",,,Pick up the rock on a ledge about one-fourth of the way down the cliff.,Korok678.jpg
679,射气球,text,东阿卡莱海岸,"4336.0, -2438.4",,,Stand near the pinwheel and shoot the balloons.,Korok679.jpg
680,磁铁·方块拼图,text,库库甲谷,"-2214.0, -1620.4","-2366.9, -1871.1",是,"Solve the block puzzle, making the two patterns identical.",Korok680.jpg
681,磁铁·方块拼图,text,沃尔纳山,"-1096.4, -3397.6",,,Complete the box puzzle.,Korok681.jpg
682,推石入坑,text,沃尔纳山,"-1113.0, -3042.0","-1267.9, -3216.0",是,Roll a boulder (from uphill to the northwest) into the hole.,Korok682.jpg
683,射气球,text,忘却神殿,"-1684.0, -2183.0",,,Stand near the pinwheel and shoot the balloons around you. Using a long ranged bow is recommended.,Korok683.jpg
684,射气球,text,泰阿蒙河,"-3019.0, 374.4",,,Shoot a balloon in a tree.,Korok684.jpg
685,垒石·石圈,text,明弗拉的秘泉,"-3500.4, -3577.0",,,"Jump into the water and go under the rock structure as far northwest as you can go. You'll find a pile of leaves to cut away, revealing a rock to pick up. Cold Resistance Level 2 recommended",Korok685.jpg
686,彩色花·按序踩,actor,伊露美娜池,"-3457.0, 167.6",,,Run through flowers 1-5.,Korok686.jpg
687,食物祭品,text,达拉伊特森林,"-1973.0, 1093.6",,,Put an apple in the empty bowl.,Korok687.jpg
688,搬石头,text,库库甲谷,"-3479.6, -71.6",,,"Under a rock, a fourth down the canyon.",Korok688.jpg
689,精灵光点,text,塔玛湖,"-2834.0, -1593.6",,,Climb up to the top of the windmill and examine the fairy lights.,Korok689.jpg
690,射箭·射靶,text,库库甲谷,"-3864.0, -149.6","-4256.3, -92.1",是,Shoot an acorn hanging from the lower part of the windmill.,Korok690.jpg
691,追花,text,海布拉大化石,"-3961.6, -3721.0","-4084.9, -3717.7",是,"Inside the cave, there's a yellow flower at the bottom of the Leviathan's spine directly behind the Shrine. Follow it to get the Korok Seed. Cold Resistance Level 2 recommended.",Korok691.jpg
692,射箭·射靶,text,达拉伊特森林,"-2393.6, 1041.0","-2444.3, 1141.7",是,Destroy the acorn hanging under an outcrop.,Korok692.jpg
693,射气球,text,达拉伊特森林,"-2456.4, 1161.6",,,Shoot the balloons near the windmill.,Korok693.jpg
694,垒石·石圈,text,沃尔纳山,"-1367.0, -3647.0",,,"Complete the three circles, using the rock lying in one of the circles.",Korok694.jpg
695,射箭·射靶,text,草笛山丘,"224.4, 874.4","320.9, 1199.5",是,Destroy the acorn in the hole in the side of the large tree.,Korok695.jpg
696,射箭·射靶,text,东部的驿站村废墟,"68.4, 1438.4","320.9, 1205.8",是,"Stand on the stump, then shoot the flying acorns.",Korok696.jpg
697,推石入坑,text,卡洛克桥,"-1129.6, -676.4","-1203.2, -631.0",是,Roll a boulder from the west (up the hill) downhill to the east into a small hole.,Korok697.jpg
698,搬石头,text,哈希毕罗湖,"-3297.6, -1364.0",,,Under a rock behind some destructible boulders.,Korok698.jpg
699,精灵光点,text,奥尔龙盆地,"3878.0, -2369.6",,,Catch the flying lights.,Korok699.jpg
700,追花,text,北阿卡莱高地,"4104.0, -2838.0",,,Follow the flower order. The third flower is behind some bushes.,Korok700.jpg
701,搬石头,text,更格尔山丘,"615.0, -744.0",,,Lift the rock up.,Korok701.jpg
702,赛跑·树桩,text,Goron City (Breath of the Wild),"1725.6, -2554.0","1610.2, -2544.7",是,Climb to the top of the rock sculpture of Daruk's head to find the seed platform. Race east towards the ring before the time runs out.,Korok702.jpg
703,磁铁·方块拼图,text,马尔鼓池塘,"2168.0, -2109.6",,,Complete the magnetic puzzle here using Magnesis.,Korok703.jpg
704,射气球,text,监狱遗迹,"-941.6, -816.0",,,Stand on the tree stump with the pinwheel. There will be an acorn jumping at the top of one of the trees. Shoot it.,Korok704.jpg
705,搬石头,text,希麦加米河,"-1370.4, -114.4",,,Pick up the rock on the shore.,Korok705.jpg
706,射箭·射靶,text,希麦加米河,"-1516.0, 56.4","-1258.4, -240.5",是,Shoot the acorn hidden in the tree.,Korok706.jpg
707,磁铁·方块拼图,text,北海拉鲁平原,"-1143.6, -761.6",,,Solve the block puzzle.,Korok707.jpg
708,搬石头,text,卡洛克桥,"-933.6, -640.0",,,Under a rock.,Korok708.jpg
709,射箭·射靶,text,卡洛克桥,"-1095.6, -495.6","-1258.4, -240.5",是,Shoot the acorn hanging under the bridge.,Korok709.jpg
710,搬石头,text,鸟鸣草原,"-734.4, 330.4",,,Under a rock.,Korok710.jpg
711,射箭·射靶,text,鸟鸣草原,"-707.6, 105.6","-516.9, 97.8",是,Destroy the acorn in the hole in the side of a tree.,Korok711.jpg
712,射气球,text,鸟鸣草原,"-519.0, 94.0","-426.7, 149.9",是,Pop the balloon on top of the tree.,Korok712.jpg
713,射箭·射靶,text,风标草原,"-365.0, 398.0","-516.9, 97.8",是,Shoot the acorn hanging from the wreck of a carriage.,Korok713.jpg
714,精灵光点,text,海拉鲁驻军地遗迹,"-510.4, 554.0",,,Examine the fairy lights at the top of the flagpole.,Korok714.jpg
715,精灵光点,text,风标草原,"-121.6, 591.6",,,Catch the fairy lights.,Korok715.jpg
716,精灵光点,text,草笛山丘,"-131.0, 947.0",,,Catch the fairy lights.,Korok716.jpg
717,搬石头,text,草笛山丘,"40.4, 1033.0",,,Under a rock on top of the large tree.,Korok717.jpg
718,食物祭品,text,监狱遗迹,"-682.0, -860.4",,,"Place a Rusty Shield in the offering bowl. One is nearby, to the southeast.",Korok718.jpg
719,射箭·射靶,text,明弗拉的秘泉,"-3614.4, -3493.0","-3572.7, -3277.7",是,Shoot the acorn that's at the end of the hollow log. Cold Resistance Level 2 recommended,Korok719.jpg
720,跳水环,text,巴尔麦平原,"65.0, 3149.0",,,Dive into the circle.,Korok720.jpg
721,射气球,text,海布拉河,"-2900.0, -2503.6",,,Shoot the balloon under the alcove where the river begins.,Korok721.jpg
722,搬石头,text,泰阿蒙河,"-2919.0, 479.6",,,Pick up the rock.,Korok722.jpg
723,搬石头,text,泰阿蒙河,"-2909.6, 796.4",,,Under a rock.,Korok723.jpg
724,搬石头,text,希麦加米河,"-1555.6, 815.0",,,Under a rock.,Korok724.jpg
725,精灵光点,text,萨托利山,"-1984.4, 364.0",,,Climb up the long bare tree to examine the fairy lights.,Korok725.jpg
726,搬石头,text,泰阿蒙河,"-2314.0, 24.0",,,Under a rock.,Korok726.jpg
727,搬石头,text,路茨平原,"-3805.6, -773.0",,,Under a rock.,Korok727.jpg
728,精灵光点,text,塔邦挞大桥驿站,"-2717.6, -435.0",,,Catch the fairy lights that run around in the area,Korok728.jpg
729,搬石头,text,利特驿站,"-3276.4, -1865.0",,,Under the rock on top of the tree.,Korok729.jpg
730,搬石头,text,海拉鲁城堡护城河,"-754.0, -1083.0",,,Lift up the rock.,Korok730.jpg
731,赛跑·树桩,text,鼓洛斯湖,"1868.0, -2400.4","1915.7, -2382.1",是,To the east of the seed marker there's a ledge with the seed platform on it. Race to the ring.,Korok731.jpg
732,垒石·石圈,text,波奇桥,"287.6, -723.0",,,Throw a rock into the ring of rocks in the river.,Korok732.jpg
733,搬石头,text,南塔邦挞雪原,"-1350.4, -2732.0",,,Under a rock behind some cracked boulders.,Korok733.jpg
734,食物祭品,text,龙骨沼泽,"-4122.4, -1935.0",,,Put a Spicy Pepper in the offering bowl that is missing one.,Korok734.jpg
735,彩色花·按序踩,text,平原牧场遗迹,"146.4, 299.0",,,Run through the flower patches in order from 1 to 5.,Korok735.jpg
736,搬石头,text,科嘉奈亚池塘,"3085.0, 2883.6",,,"In a cave with Luminous Ore, blow up the boulders and pick up the small rock behind them. the cave can be found next to the big tree.",Korok736.jpg
737,射气球,text,乌克克平原,"3968.0, -856.0",,,"Stand by the pinwheel, shoot the three balloons.",Korok737.jpg
738,食物祭品,text,乌尔拉峡谷谷,"4239.6, -994.4",,,Three trees stand on top of this plateau. Pluck the apples one of them so that it matches the other two trees.,Korok738.jpg
739,搬石头,text,乌尔拉峡谷谷,"4042.4, -661.0",,,Move the large boulder surrounded by smaller rocks. Then lift up the rock underneath it to reveal a Korok.,Korok739.jpg
740,追花,actor,乌尔拉峡谷谷,"4146.0, -593.6","4139.2, -409.9",是,Climb to the top of the tallest pine tree here and examine the sparkles.,Korok740.jpg
741,树叶下,text,乌尔拉峡谷谷,"4331.6, -694.0",,,Examine the flying leaves at the top of the hill.,Korok741.jpg
742,搬石头,text,骷髅池塘,"3078.0, -3683.0",,,Pick up the rock on top of the large tree.,Korok742.jpg
743,搬石头,text,塔邦挞村遗迹,"-2204.4, -1767.0",,,"On the side of the cliff, blow up the cracked boulders then lift the small rock hidden behind them.",Korok743.jpg
744,追花,text,王室古代研究所遗迹,"-1226.4, -1001.6","-1234.3, -1094.2",是,Follow the flower trail that starts in the north section of the ruins.,Korok744.jpg
745,搬石头,text,塔邦挞大桥,"-3213.0, -574.0",,,Race that starts from the under the east end of the bridge to finish under the west end of the bridge.,Korok745.jpg
746,赛跑·树桩,text,库库甲谷,"-3829.0, -118.4","-3822.2, -170.9",是,Race from a cliff to the north to the finish to the south.,Korok746.jpg
747,搬石头,text,罗姆山,"-2697.6, -766.0",,,Under a rock.,Korok747.jpg
748,搬石头,text,罗姆山,"-2669.6, -864.0",,,Under a rock.,Korok748.jpg
749,赛跑·树桩,text,塔玛湖,"-2826.4, -1580.0","-2772.8, -1472.8",是,Race from a cliff to the south to the finish to the north.,Korok749.jpg
750,搬石头,text,库库甲谷,"-2083.6, -1564.4",,,"On the side of the cliff, blow up the cracked boulders then lift the small rock hidden behind them.",Korok750.jpg
751,搬石头,text,库库甲谷,"-2217.6, -1563.0",,,Under a rock.,Korok751.jpg
752,精灵光点,text,拉布拉山,"-2023.0, -1301.0",,,Catch the fairy lights at the top of the bare tree.,Korok752.jpg
753,搬石头,text,拉布拉山丘,"-2386.4, -1148.4",,,"At ground level, blow up the cracked boulders then lift the small rock hidden behind them.",Korok753.jpg
754,搬石头,text,丘萨茨湖,"2313.6, -1133.0",,,"Blast the rock wall, enter the cave and pick up the rock.",Korok754.jpg
755,垒石·石圈,text,齐纳嘉莱湿地带,"-2059.0, -778.0",,,"On top of the giant mushroom, complete the stone circle using 3 nearby rocks.",Korok755.jpg
756,食物祭品,text,齐纳嘉莱湿地带,"-2030.4, -545.6",,,"Follow the trail of flowers that start on top of the large mushroom tree to the southwest. Note, the final flower is on the floor, not a mushroom.",Korok756.jpg
757,食物祭品,text,齐纳嘉莱湿地带,"-1964.4, -584.0",,,Race from ground level just north up to the small mushroom.,Korok757.jpg
758,射气球,text,赛莱斯平原,"-2439.0, -489.0",,,Shoot the balloon hanging under the huge mushroom tree.,Korok758.jpg
759,射气球,text,赛莱斯平原,"-2369.0, -345.6",,,Shoot the balloon hanging under the huge mushroom tree.,Korok759.jpg
760,食物祭品,text,沃尔纳山,"-1044.4, -2707.6",,,"Inside the Forgotten Temple, behind the Goddess Statue's head, north of the shrine, lift the rock.",Korok760.jpg
761,射箭·射靶,text,马拉松报名处,"-2637.0, -1247.6",,,Shoot the acorn in the hole in the side of the tree.,Korok761.jpg
762,食物祭品,text,赛莱斯平原,"-2548.0, -306.4",,,"Race from a large mushroom tree to the southeast, finish on topside of another large mushroom tree.",Korok762.jpg
763,彩色花·按序踩,actor,西海拉鲁平原,"-1648.0, -40.0",,,Run through the flower patches 1-5.,Korok763.jpg
764,搬石头,text,西海拉鲁平原,"-1583.6, -226.4",,,"Move the slab, and pick up the rock under it.",Korok764.jpg
765,赛跑·树桩,text,卡洛克桥,"-1115.6, -528.4","-989.9, -541.0",是,Race from the beach to the east of the seed location to the yellow ring on the rock.,Korok765.jpg
766,搬石头,text,巴奇平原,"-1081.6, -1276.4",,,Under a rock on top of the tree.,Korok766.jpg
767,射气球,text,南部采矿场,"1540.0, -2088.4",,,Use the updraft to float straight into the air. Look under the nearby rock formation and shoot the balloon.,Korok767.jpg
768,赛跑·树桩,text,吉萨山丘,"-3661.6, -829.0","-3692.1, -792.1",是,Reach the circle before the time limit. The seed platform is on the curved ledge to the southwest.,Korok768.jpg
769,食物祭品,text,卢玛琳沙丘,"-4881.0, 2470.0",,,One cactus has too many voltfruit. Make it look like the other two.,Korok769.jpg
770,射气球,text,北洛美城堡遗迹,"-874.0, -3313.6",,,Shoot the balloon in the tree.,Korok770.jpg
771,磁铁·方块拼图,text,奥尔龙盆地,"3732.4, -2423.0",,,Solve the Magnesis puzzle on the side of the cliff wall.,Korok771.jpg
772,搬石头,text,玛丽塔平原,"-1802.4, -1840.4",,,Under a rock behind some destructible boulders.,Korok772.jpg
773,射气球,text,德依布朗遗迹,"235.0, -2942.0",,,Shoot the balloons that appear near the pinwheel.,Korok773.jpg
774,搬石头,text,海布拉山西岳,"-4328.4, -2601.6",,,Under a rock on the top of the peak.,Korok774.jpg
775,射气球,text,乌克池塘,"-4507.0, -2148.0",,,"Shoot the three balloons, standing next to the pinwheel.",Korok775.jpg
776,搬石头,text,龙骨沼泽,"-4481.6, -1967.6",,,Under a rock.,Korok776.jpg
777,追花,actor,乌克池塘,"-4022.0, -2350.0","-4204.8, -2782.2",是,Follow the trail of flowers starting uphill to the southwest.,Korok777.jpg
778,赛跑·树桩,text,龙骨沼泽,"-4397.0, -2050.0",,,"The seed platform is way to the north, at the southwest corner of the plateau the Hebra West Summit is on, next to a large flag. Shield surf or paraglide to the end location.",Korok778.jpg
779,射箭·射靶,text,海拉鲁城邑遗迹,"-254.4, -266.0","-163.7, -271.9",是,"Shoot the Hylian symbol on the north side of the wall, above the gate.",Korok779.jpg
780,赛跑·树桩,actor,中央广场遗迹,"-254.0, -425.6","-296.8, -261.9",是,"There is a Korok platform on top of the wall to the south of the fountain, west of the gate. Glide from there to the fountain.",Korok780.jpg
781,精灵光点,text,贝莱平原,"1404.4, -832.4",,,Catch the fairy lights.,Korok781.jpg
782,搬石头,text,海布拉湖,"-2633.6, -2055.0",,,Under a rock behind the shrine.,Korok782.jpg
783,搬石头,text,西南阿卡莱桥,"3601.0, -1008.4",,,"Go to the southeastern corner of the bridge and move underneath it, to where a single rock is. Pick up the rock to reveal the Korok.",Korok783.jpg
784,垒石·石圈,text,阿卡莱堡垒联络桥遗迹,"3113.0, -1295.0",,,"Complete the rock circle with the rock that is downhill from the circle, next to a dead guardian.",Korok784.jpg
785,搬石头,text,塔林湿地,"3709.6, -1684.4",,,Pick up rock on top of destroyed structure.,Korok785.jpg
786,射箭·射靶,text,三殿,"-324.0, -798.4","-214.9, -751.0",是,"In a corridor under the First Gatehouse, break the bombable wall, then shoot the acorn with an arrow.",Korok786.jpg
787,食物祭品,text,萨尔达的研究室,"-439.6, -932.4",,,Place a Bird Egg in front of each statue.,Korok787.jpg
788,搬石头,text,萨尔达的研究室,"-369.6, -994.4",,,Lift the rock found halfway down the shaft.,Korok788.jpg
789,搬石头,text,Hyrule Castle (Breath of the Wild),"-254.4, -632.0",,,On top of the gate to Hyrule Castle is a rock. Lift the rock.,Korok789.jpg
790,追花,text,Hyrule Castle (Breath of the Wild),"-230.4, -630.4","-246.7, -579.2",是,Follow the flower trail starting under the bridge on the southern side of the moat.,Korok790.jpg
791,搬石头,text,海拉鲁大圣堂遗迹,"88.0, -634.4",,,Get rid of the leaves and pick up the rock underneath.,Korok791.jpg
792,树叶下,text,茨茨齐齐雪原,"-2293.0, -3407.0",,,Thaw the ice block and examine the glittering leaves. Cold Resistance Level 2 recommended,Korok792.jpg
793,搬石头,text,忘却神殿,"-1257.6, -2365.0",,,On top of the temple. Under a rock behind the bombable boulders.,Korok793.jpg
794,搬石头,text,忘却神殿,"-1673.6, -2140.0",,,Under a rock.,Korok794.jpg
795,其他,text,拉明平原,"-1310.0, -1940.4",,,Jump the three fences while riding. This can also be done with the Master Cycle Zero using the Zero Jump,Korok795.jpg
796,精灵光点,text,海布拉山西岳,"-4418.4, -2862.4",,,Catch the fairy lights.,Korok796.jpg
797,搬石头,text,南部绿洲,"-3798.4, 3430.0",,,Pick up the rock.,Korok797.jpg
798,食物祭品,text,乌利尔山,"3661.6, -2065.6",,,Clear the apples on the tree with too many to have the same amount as the others.,Korok798.jpg
799,垒石·石圈,text,摩尔达巴山,"-1350.4, 3770.0",,,Complete the rock square.,Korok799.jpg
800,搬石头,text,卡札娜裂谷,"3496.0, -3374.0",,,"Remove the rock slab, then pick up the rock.",Korok800.jpg
801,搬石头,text,深远阿卡莱平原,"3453.0, -3581.6",,,"Knock the boulder off, then pick up the little rock.",Korok801.jpg
802,搬石头,text,死亡之山登山口,"2436.0, -1238.0",,,Look under the rock bridge to find a small ledge with a rock on it. Pick up the rock to reveal the Korok.,Korok802.jpg
803,精灵光点,text,艾美拉尔台地,"-4113.0, 1378.0",,,Catch the fairy lights.,Korok803.jpg
804,射箭·射靶,text,巴奇平原,"-704.0, -1444.4","-902.8, -1587.6",是,Destroy the acorn inside the hollow of the tree log.,Korok804.jpg
805,赛跑·树桩,text,海布拉水源,"-2884.0, -2398.0","-2941.3, -2483.4",是,"The seed platform is to the north, just west of where the water begins, at the highest point overlooking the falls. Race to the ring.",Korok805.jpg
806,射气球,text,海布拉水源,"-2839.6, -2422.0",,,Shoot the balloon down by the water.,Korok806.jpg
807,射箭·射靶,text,夏利巴山,"-3280.0, -2616.4","-2984.9, -2693.6",是,Destroy the acorn in the hollow of the tree log.,Korok807.jpg
808,磁铁·方块拼图,text,阿卡莱堡垒遗迹,"3237.6, -1526.0",,,Located on a higher ledge than the nearby seed. There are two blocks and pile of leaves here. Disturb the leaves and pick up the rock.,Korok808.jpg
809,磁铁·方块拼图,text,阿卡莱堡垒遗迹,"3299.0, -1586.4",,,Located on a lower ledge than the nearby seed. Move the door with Magnesis to uncover a rock to pick up.,Korok809.jpg
810,搬石头,text,阿卡莱堡垒遗迹,"3297.0, -1417.6",,,Drop down from the southern ledge with the cannons to find a pile of leaves. Disturb the leaves and pick up the rock.,Korok810.jpg
811,搬石头,text,阿卡莱大桥,"3009.0, -1199.6",,,"Under the bridge, move the rock slab, then pick up the rock.",Korok811.jpg
812,搬石头,text,毅力崖 ,"2550.0, -3595.6",,,Blow up the rock wall and lift up the small rock that was hidden behind it.,Korok812.jpg
813,搬石头,text,死亡破火山口,"2471.0, -3178.4",,,"Blow up the boulders, lift up the rock underneath.",Korok813.jpg
814,树叶下,text,夏特岭,"3372.4, -2315.0",,,Climb a tall pine tree and examine the glowing leaves to find the Korok.,Korok814.jpg
815,射气球,text,东埃文坡高地,"859.6, -3353.0",,,Stand next to the pinwheel atop the tree and shoot the balloons.,Korok815.jpg
816,其他,text,卡纳莱特高原,"3245.6, -1999.0",,,An invisible Korok will be running around the area. Interact with it and collect the Korok seed.,Korok816.jpg
817,搬石头,text,乌利尔山,"3480.0, -2077.0",,,Clear the leaves and pick up the rock to find the Korok.,Korok817.jpg
818,搬石头,text,北阿卡莱高地,"4006.4, -2736.4",,,Disturb the leaves with a bladed weapon then lift up the small rock hidden underneath them.,Korok818.jpg
